Performing image warping using TORCH_ALL
Working on image 0
Not saving images, only evaluating output
Time taken was 1.286961
Reference position is (4, 4)
Position (3, 2): PSNR 38.134780, SSIM 0.956459
Position (3, 3): PSNR 39.867207, SSIM 0.964850
Position (3, 4): PSNR 41.555877, SSIM 0.971475
Position (3, 5): PSNR 40.507138, SSIM 0.967484
Position (3, 6): PSNR 38.159891, SSIM 0.957458
Position (3, 7): PSNR 36.167932, SSIM 0.945752
Position (4, 0): PSNR 35.767661, SSIM 0.945890
Position (4, 1): PSNR 37.249252, SSIM 0.954139
Position (4, 2): PSNR 39.263989, SSIM 0.964067
Position (4, 3): PSNR 42.799339, SSIM 0.977092
Position (4, 4): PSNR 100.000000, SSIM 1.000000
Position (4, 5): PSNR 43.114524, SSIM 0.978332
Position (4, 6): PSNR 39.481194, SSIM 0.966104
Position (4, 7): PSNR 36.924382, SSIM 0.953733
Position (5, 0): PSNR 35.424013, SSIM 0.937784
Position (5, 1): PSNR 36.718296, SSIM 0.946389
Position (5, 2): PSNR 38.455298, SSIM 0.957605
Position (5, 3): PSNR 40.716759, SSIM 0.967132
Position (5, 4): PSNR 41.514113, SSIM 0.971017
Position (5, 5): PSNR 40.155634, SSIM 0.965462
Position (5, 6): PSNR 38.430881, SSIM 0.957506
Position (5, 7): PSNR 36.417785, SSIM 0.946367
Position (6, 0): PSNR 34.790375, SSIM 0.927182
Position (6, 1): PSNR 35.732074, SSIM 0.933768
Position (6, 2): PSNR 36.678401, SSIM 0.940659
Position (6, 3): PSNR 37.604514, SSIM 0.947107
Position (6, 4): PSNR 37.753433, SSIM 0.948763
Position (6, 5): PSNR 37.252591, SSIM 0.944672
Position (6, 6): PSNR 36.474630, SSIM 0.938952
Position (6, 7): PSNR 35.239995, SSIM 0.929809
Position (7, 0): PSNR 33.983192, SSIM 0.912508
Position (7, 1): PSNR 34.576323, SSIM 0.917655
Position (7, 2): PSNR 34.998444, SSIM 0.922056
Position (7, 3): PSNR 35.432904, SSIM 0.925814
Position (7, 4): PSNR 35.354236, SSIM 0.925681
Position (7, 5): PSNR 35.086518, SSIM 0.922337
Position (7, 6): PSNR 34.771844, SSIM 0.919099
Position (7, 7): PSNR 34.027537, SSIM 0.912282

psnr average 37.374981, stddev 8.261425
ssim average 0.938083, stddev 0.022136
Working on image 5
Not saving images, only evaluating output
Time taken was 1.223615
Reference position is (4, 4)
Position (0, 0): PSNR 30.745974, SSIM 0.889956
